date,pce,pop,  psavert  ,uempmed,unemploy
7/1/67,507.4,198712,$12.50 ,450.00%,2944
8/1/67,510.5,198911,$12.50 ,470.00%,2945
9/1/67,516.3,199113,$11.70 ,460.00%,2958
10/1/67,512.9,199311,$12.50 ,490.00%,3143
11/1/67,518.1,199498,$12.50 ,470.00%,3066
12/1/67,525.8,199657,$12.10 ,480.00%,3018
1/1/68,531.5,199808,$11.70 ,510.00%,2878
2/1/68,534.2,199920,$12.20 ,450.00%,3001
3/1/68,544.9,200056,$11.60 ,410.00%,2877
4/1/68,544.6,200208,$12.20 ,460.00%,2709
5/1/68,550.4,200361,$12.00 ,440.00%,2740
6/1/68,556.8,200536,$11.60 ,440.00%,2938
7/1/68,563.8,200706,$10.60 ,450.00%,2883
8/1/68,567.6,200898,$10.40 ,420.00%,2768
9/1/68,568.8,201095,$10.40 ,460.00%,2686
10/1/68,572.3,201290,$10.60 ,480.00%,2689
11/1/68,577.4,201466,$10.40 ,440.00%,2715
12/1/68,577.2,201621,$10.90 ,440.00%,2685
1/1/69,584.2,201760,$10.00 ,440.00%,2718
2/1/69,589.5,201881,$9.40 ,490.00%,2692
3/1/69,589.7,202023,$9.90 ,400.00%,2712
4/1/69,594.7,202161,$9.50 ,400.00%,2758
5/1/69,601.1,202331,$10.00 ,420.00%,2713
6/1/69,601.7,202507,$10.90 ,440.00%,2816
7/1/69,603.5,202677,$11.70 ,440.00%,2868
8/1/69,610.8,202877,$11.50 ,440.00%,2856
9/1/69,614.1,203090,$11.50 ,470.00%,3040
10/1/69,619.4,203302,$11.30 ,450.00%,3049
11/1/69,621.4,203500,$11.50 ,480.00%,2856
12/1/69,623.7,203675,$11.70 ,460.00%,2884
1/1/70,629.6,203849,$11.70 ,460.00%,3201
2/1/70,634.9,204008,$11.60 ,450.00%,3453
3/1/70,633.2,204156,$12.30 ,460.00%,3635
4/1/70,637,204401,$13.30 ,410.00%,3797
5/1/70,643.4,204607,$12.30 ,470.00%,3919
6/1/70,647.2,204830,$11.70 ,490.00%,4071
7/1/70,649.5,205052,$13.20 ,510.00%,4175
8/1/70,653.9,205295,$13.10 ,540.00%,4256
9/1/70,660.1,205540,$12.90 ,520.00%,4456
10/1/70,659.3,205788,$13.00 ,520.00%,4591
11/1/70,657.6,206024,$13.30 ,560.00%,4898
12/1/70,666.6,206238,$12.90 ,590.00%,5076
1/1/71,677.2,206466,$13.10 ,620.00%,4986
2/1/71,680.4,206668,$13.10 ,630.00%,4903
3/1/71,683,206855,$13.30 ,640.00%,4987
4/1/71,689.8,207065,$13.00 ,650.00%,4959
5/1/71,692.2,207260,$13.40 ,670.00%,4996
6/1/71,700.8,207462,$14.40 ,570.00%,4949
7/1/71,699.9,207661,$13.60 ,620.00%,5035
8/1/71,706,207881,$13.60 ,640.00%,5134
9/1/71,714.1,208114,$12.90 ,580.00%,5042
10/1/71,716.9,208345,$13.00 ,650.00%,4954
11/1/71,722.1,208555,$12.80 ,640.00%,5161
12/1/71,729.6,208740,$12.90 ,620.00%,5154
1/1/72,732.6,208917,$12.40 ,620.00%,5019
2/1/72,737.3,209061,$12.60 ,660.00%,4928
3/1/72,750.4,209212,$11.50 ,660.00%,5038
