Id,sex,age,sibsp,parch,ticket,fare,cabin,embarked
1,female,29,0,0,24160,211.3375,B5,S
2,male,0.9167,1,2,113781,151.55,C22 C26,S
3,female,2,1,2,113781,151.55,C22 C26,S
4,male,30,1,2,113781,151.55,C22 C26,S
5,female,25,1,2,113781,151.55,C22 C26,S
6,male,48,0,0,19952,26.55,E12,S
7,female,63,1,0,13502,77.9583,D7,S
8,male,39,0,0,112050,0,A36,S
9,female,53,2,0,11769,51.4792,C101,S
10,male,71,0,0,PC 17609,49.5042,,C
11,male,47,1,0,PC 17757,227.525,C62 C64,C
12,female,18,1,0,PC 17757,227.525,C62 C64,C
13,female,24,0,0,PC 17477,69.3,B35,C
14,female,26,0,0,19877,78.85,,S
15,male,80,0,0,27042,30,A23,S
16,male,,0,0,PC 17318,25.925,,S
17,male,24,0,1,PC 17558,247.5208,B58 B60,C
18,female,50,0,1,PC 17558,247.5208,B58 B60,C
19,female,32,0,0,11813,76.2917,D15,C
20,male,36,0,0,13050,75.2417,C6,C
21,male,37,1,1,11751,52.5542,D35,S
22,female,47,1,1,11751,52.5542,D35,S
23,male,26,0,0,111369,30,C148,C
24,female,42,0,0,PC 17757,227.525,,C
25,female,29,0,0,PC 17483,221.7792,C97,S
26,male,25,0,0,13905,26,,C
27,male,25,1,0,11967,91.0792,B49,C
28,female,19,1,0,11967,91.0792,B49,C
29,female,35,0,0,PC 17760,135.6333,C99,S
30,male,28,0,0,110564,26.55,C52,S
31,male,45,0,0,113784,35.5,T,S
32,male,40,0,0,112277,31,A31,C
33,female,30,0,0,36928,164.8667,C7,S
34,female,58,0,0,113783,26.55,C103,S
35,male,42,0,0,110489,26.55,D22,S
36,female,45,0,0,PC 17608,262.375,,C
37,female,22,0,1,113505,55,E33,S
38,male,,0,0,111427,26.55,,S
39,male,41,0,0,113054,30.5,A21,S
40,male,48,0,0,PC 17591,50.4958,B10,C
41,male,,0,0,112379,39.6,,C
42,female,44,0,0,PC 17610,27.7208,B4,C
43,female,59,2,0,11769,51.4792,C101,S
44,female,60,0,0,11813,76.2917,D15,C
45,female,41,0,0,16966,134.5,E40,C
46,male,45,0,0,113050,26.55,B38,S
47,male,,0,0,113798,31,,S
48,male,42,0,0,PC 17476,26.2875,E24,S
49,female,53,0,0,PC 17606,27.4458,,C
50,male,36,0,1,PC 17755,512.3292,B51 B53 B55,C
51,female,58,0,1,PC 17755,512.3292,B51 B53 B55,C
52,male,33,0,0,695,5,B51 B53 B55,S
53,male,28,0,0,113059,47.1,,S
54,male,17,0,0,113059,47.1,,S
55,male,11,1,2,113760,120,B96 B98,S
56,female,14,1,2,113760,120,B96 B98,S
57,male,36,1,2,113760,120,B96 B98,S
58,female,36,1,2,113760,120,B96 B98,S
59,male,49,0,0,19924,26,,S
60,female,,0,0,17770,27.7208,,C
61,male,36,1,0,19877,78.85,C46,S
62,female,76,1,0,19877,78.85,C46,S
63,male,46,1,0,W.E.P. 5734,61.175,E31,S
64,female,47,1,0,W.E.P. 5734,61.175,E31,S
65,male,27,1,0,113806,53.1,E8,S
66,female,33,1,0,113806,53.1,E8,S
67,female,36,0,0,PC 17608,262.375,B61,C
68,female,30,0,0,110152,86.5,B77,S
69,male,45,0,0,PC 17594,29.7,A9,C
70,female,,0,1,113505,55,E33,S
71,male,,0,0,112051,0,,S
72,male,27,1,0,13508,136.7792,C89,C
73,female,26,1,0,13508,136.7792,C89,C
74,female,22,0,0,113781,151.55,,S
75,male,,0,0,110465,52,A14,S
76,male,47,0,0,5727,25.5875,E58,S
77,female,39,1,1,PC 17756,83.1583,E49,C
78,male,37,1,1,PC 17756,83.1583,E52,C
79,female,64,0,2,PC 17756,83.1583,E45,C
80,female,55,2,0,11770,25.7,C101,S
81,male,,0,0,113791,26.55,,S
82,male,70,1,1,WE/P 5735,71,B22,S
83,female,36,0,2,WE/P 5735,71,B22,S
84,female,64,1,1,112901,26.55,B26,S
85,male,39,1,0,PC 17599,71.2833,C85,C
86,female,38,1,0,PC 17599,71.2833,C85,C
87,male,51,0,0,113055,26.55,E17,S
88,male,27,0,0,113804,30.5,,S
89,female,33,0,0,113781,151.55,,S
90,male,31,1,0,F.C. 12750,52,B71,S
91,female,27,1,2,F.C. 12750,52,B71,S
92,male,31,1,0,17474,57,B20,S
93,female,17,1,0,17474,57,B20,S
94,male,53,1,1,33638,81.8583,A34,S
95,male,4,0,2,33638,81.8583,A34,S
96,female,54,1,1,33638,81.8583,A34,S
97,male,50,1,0,PC 17761,106.425,C86,C
98,female,27,1,1,PC 17558,247.5208,B58 B60,C
99,female,48,1,0,PC 17761,106.425,C86,C
100,female,48,1,0,11755,39.6,A16,C
101,male,49,1,0,PC 17485,56.9292,A20,C
102,male,39,0,0,PC 17580,29.7,A18,C
103,female,23,0,1,11767,83.1583,C54,C
104,female,38,0,0,PC 17757,227.525,C45,C
105,female,54,1,0,36947,78.2667,D20,C
106,female,36,0,0,PC 17531,31.6792,A29,C
107,male,,0,0,PC 17483,221.7792,C95,S
108,female,,0,0,PC 17598,31.6833,,S
109,female,,0,0,17421,110.8833,,C
110,male,36,0,0,PC 17474,26.3875,E25,S
111,male,30,0,0,113051,27.75,C111,C
112,female,24,3,2,19950,263,C23 C25 C27,S
113,female,28,3,2,19950,263,C23 C25 C27,S
114,female,23,3,2,19950,263,C23 C25 C27,S
115,male,19,3,2,19950,263,C23 C25 C27,S
116,male,64,1,4,19950,263,C23 C25 C27,S
117,female,60,1,4,19950,263,C23 C25 C27,S
118,female,30,0,0,PC 17485,56.9292,E36,C
119,male,,0,0,113778,26.55,D34,S
120,male,50,2,0,PC 17611,133.65,,S
121,male,43,1,0,17765,27.7208,D40,C
122,female,,1,0,PC 17611,133.65,,S
123,female,22,0,2,13568,49.5,B39,C
124,male,60,1,1,13567,79.2,B41,C
125,female,48,1,1,13567,79.2,B41,C
126,male,,0,0,112058,0,B102,S
127,male,37,1,0,113803,53.1,C123,S
128,female,35,1,0,113803,53.1,C123,S
129,male,47,0,0,111320,38.5,E63,S
130,female,35,0,0,113503,211.5,C130,C
131,female,22,0,1,112378,59.4,,C
132,female,45,0,1,112378,59.4,,C
133,male,24,0,0,PC 17593,79.2,B86,C
134,male,49,1,0,17453,89.1042,C92,C
135,female,,1,0,17453,89.1042,C92,C
136,male,71,0,0,PC 17754,34.6542,A5,C
137,male,53,0,0,113780,28.5,C51,C
138,female,19,0,0,112053,30,B42,S
139,male,38,0,1,PC 17582,153.4625,C91,S
140,female,58,0,1,PC 17582,153.4625,C125,S
141,male,23,0,1,PC 17759,63.3583,D10 D12,C
142,female,45,0,1,PC 17759,63.3583,D10 D12,C
143,male,46,0,0,PC 17593,79.2,B82 B84,C
144,male,25,1,0,11765,55.4417,E50,C
145,female,25,1,0,11765,55.4417,E50,C
146,male,48,1,0,PC 17572,76.7292,D33,C
147,female,49,1,0,PC 17572,76.7292,D33,C
148,male,,0,0,113796,42.4,,S
149,male,45,1,0,36973,83.475,C83,S
150,female,35,1,0,36973,83.475,C83,S
151,male,40,0,0,112059,0,B94,S
152,male,27,0,0,PC 17572,76.7292,D49,C
153,male,,0,0,16988,30,D45,S
154,female,24,0,0,11767,83.1583,C54,C
155,male,55,1,1,12749,93.5,B69,S
156,female,52,1,1,12749,93.5,B69,S
157,male,42,0,0,113038,42.5,B11,S
158,male,,0,0,17463,51.8625,E46,S
159,male,55,0,0,680,50,C39,S
160,female,16,0,1,111361,57.9792,B18,C
161,female,44,0,1,111361,57.9792,B18,C
162,female,51,1,0,13502,77.9583,D11,S
163,male,42,1,0,113789,52,,S
164,female,35,1,0,113789,52,,S
165,male,35,0,0,111426,26.55,,C
166,male,38,1,0,19943,90,C93,S
167,male,,0,0,PC 17600,30.6958,,C
168,female,35,1,0,19943,90,C93,S
169,female,38,0,0,113572,80,B28,
170,female,50,0,0,PC 17595,28.7125,C49,C
171,male,49,0,0,112058,0,B52 B54 B56,S
172,male,46,0,0,694,26,,S
173,male,50,0,0,113044,26,E60,S
174,male,32.5,0,0,113503,211.5,C132,C
175,male,58,0,0,11771,29.7,B37,C
176,male,41,1,0,17464,51.8625,D21,S
177,female,,1,0,17464,51.8625,D21,S
178,male,42,1,0,11753,52.5542,D19,S
179,female,45,1,0,11753,52.5542,D19,S
180,male,,0,0,113028,26.55,C124,S
181,female,39,0,0,24160,211.3375,,S
182,female,49,0,0,17465,25.9292,D17,S
183,female,30,0,0,PC 17761,106.425,,C
184,male,35,0,0,PC 17755,512.3292,B101,C
185,male,,0,0,PC 17612,27.7208,,C
186,male,42,0,0,17475,26.55,,S
187,female,55,0,0,112377,27.7208,,C
188,female,16,0,1,PC 17592,39.4,D28,S
189,female,51,0,1,PC 17592,39.4,D28,S
190,male,29,0,0,113501,30,D6,S
191,female,21,0,0,13502,77.9583,D9,S
192,male,30,0,0,113801,45.5,,S
193,female,58,0,0,PC 17569,146.5208,B80,C
194,female,15,0,1,24160,211.3375,B5,S
195,male,30,0,0,110469,26,C106,S
196,female,16,0,0,110152,86.5,B79,S
197,male,,0,0,11774,29.7,C47,C
198,male,19,1,0,113773,53.1,D30,S
199,female,18,1,0,113773,53.1,D30,S
200,female,24,0,0,PC 17482,49.5042,C90,C
201,male,46,0,0,13050,75.2417,C6,C
202,male,54,0,0,17463,51.8625,E46,S
203,male,36,0,0,PC 17473,26.2875,E25,S
204,male,28,1,0,PC 17604,82.1708,,C
205,female,,1,0,PC 17604,82.1708,,C
206,male,65,0,0,13509,26.55,E38,S
207,male,44,2,0,19928,90,C78,Q
208,female,33,1,0,19928,90,C78,Q
209,female,37,1,0,19928,90,C78,Q
210,male,30,1,0,13236,57.75,C78,C
211,male,55,0,0,113787,30.5,C30,S
212,male,47,0,0,113796,42.4,,S
213,male,37,0,1,PC 17596,29.7,C118,C
214,female,31,1,0,35273,113.275,D36,C
215,female,23,1,0,35273,113.275,D36,C
216,male,58,0,2,35273,113.275,D48,C
217,female,19,0,2,11752,26.2833,D47,S
218,male,64,0,0,693,26,,S
219,female,39,0,0,PC 17758,108.9,C105,C
220,male,,0,0,F.C. 12998,25.7417,,C
221,female,22,0,1,113509,61.9792,B36,C
222,male,65,0,1,113509,61.9792,B30,C
223,male,28.5,0,0,PC 17562,27.7208,D43,C
224,male,,0,0,112052,0,,S
225,male,45.5,0,0,113043,28.5,C124,S
226,male,23,0,0,12749,93.5,B24,S
227,male,29,1,0,113776,66.6,C2,S
228,female,22,1,0,113776,66.6,C2,S
229,male,18,1,0,PC 17758,108.9,C65,C
230,female,17,1,0,PC 17758,108.9,C65,C
231,female,30,0,0,12749,93.5,B73,S
232,male,52,0,0,113786,30.5,C104,S
233,male,47,0,0,110465,52,C110,S
234,female,56,0,1,11767,83.1583,C50,C
235,male,38,0,0,19972,0,,S
236,male,,0,0,PC 17607,39.6,,S
237,male,22,0,0,PC 17760,135.6333,,C
238,male,,0,0,PC 17757,227.525,,C
239,female,43,0,1,24160,211.3375,B3,S
240,male,31,0,0,PC 17590,50.4958,A24,S
241,male,45,0,0,111428,26.55,,S
242,male,,0,0,113767,50,A32,S
243,female,33,0,0,PC 17613,27.7208,A11,C
244,male,46,0,0,PC 17585,79.2,,C
245,male,36,0,0,13049,40.125,A10,C
246,female,33,0,0,110152,86.5,B77,S
247,male,55,1,0,PC 17603,59.4,,C
248,female,54,1,0,PC 17603,59.4,,C
249,male,33,0,0,113790,26.55,,S
250,male,13,2,2,PC 17608,262.375,B57 B59 B63 B66,C
251,female,18,2,2,PC 17608,262.375,B57 B59 B63 B66,C
252,female,21,2,2,PC 17608,262.375,B57 B59 B63 B66,C
253,male,61,1,3,PC 17608,262.375,B57 B59 B63 B66,C
254,female,48,1,3,PC 17608,262.375,B57 B59 B63 B66,C
255,male,,0,0,19988,30.5,C106,S
256,female,24,0,0,PC 17477,69.3,B35,C
257,male,,0,0,111163,26,,S
258,female,35,1,0,13236,57.75,C28,C
259,female,30,0,0,113798,31,,C
260,male,34,0,0,113794,26.55,,S
261,female,40,0,0,PC 17582,153.4625,C125,S
262,male,35,0,0,PC 17475,26.2875,E24,S
263,male,50,1,0,13507,55.9,E44,S
264,female,39,1,0,13507,55.9,E44,S
265,male,56,0,0,13213,35.5,A26,C
266,male,28,0,0,113788,35.5,A6,S
267,male,56,0,0,113792,26.55,,S
268,male,56,0,0,17764,30.6958,A7,C
269,male,24,1,0,13695,60,C31,S
270,male,,0,0,113056,26,A19,S
271,female,18,1,0,13695,60,C31,S
272,male,24,1,0,21228,82.2667,B45,S
273,female,23,1,0,21228,82.2667,B45,S
274,male,6,0,2,16966,134.5,E34,C
275,male,45,1,1,16966,134.5,E34,C
276,female,40,1,1,16966,134.5,E34,C
277,male,57,1,0,PC 17569,146.5208,B78,C
278,female,,1,0,PC 17569,146.5208,B78,C
279,male,32,0,0,13214,30.5,B50,C
280,male,62,0,0,113514,26.55,C87,S
281,male,54,1,0,11778,55.4417,C116,C
282,female,43,1,0,11778,55.4417,C116,C
283,female,52,1,0,36947,78.2667,D20,C
284,male,,0,0,PC 17605,27.7208,,C
285,female,62,0,0,113572,80,B28,
286,male,67,1,0,PC 17483,221.7792,C55 C57,S
287,female,63,1,0,PC 17483,221.7792,C55 C57,S
288,male,61,0,0,36963,32.3208,D50,S
289,female,48,0,0,17466,25.9292,D17,S
290,female,18,0,2,110413,79.65,E68,S
291,male,52,1,1,110413,79.65,E67,S
292,female,39,1,1,110413,79.65,E67,S
293,male,48,1,0,19996,52,C126,S
294,female,,1,0,19996,52,C126,S
295,male,49,1,1,17421,110.8833,C68,C
296,male,17,0,2,17421,110.8833,C70,C
297,female,39,1,1,17421,110.8833,C68,C
298,female,,0,0,PC 17585,79.2,,C
299,male,31,0,0,2543,28.5375,C53,C
300,male,40,0,0,PC 17601,27.7208,,C
301,male,61,0,0,111240,33.5,B19,S
302,male,47,0,0,36967,34.0208,D46,S
303,female,35,0,0,PC 17755,512.3292,,C
304,male,64,1,0,110813,75.25,D37,C
305,female,60,1,0,110813,75.25,D37,C
306,male,60,0,0,113800,26.55,,S
307,male,54,0,1,35281,77.2875,D26,S
308,male,21,0,1,35281,77.2875,D26,S
309,female,55,0,0,PC 17760,135.6333,C32,C
310,female,31,0,2,36928,164.8667,C7,S
311,male,57,1,1,36928,164.8667,,S
312,female,45,1,1,36928,164.8667,,S
313,male,50,1,1,113503,211.5,C80,C
314,male,27,0,2,113503,211.5,C82,C
315,female,50,1,1,113503,211.5,C80,C
316,female,21,0,0,113795,26.55,,S
317,male,51,0,1,PC 17597,61.3792,,C
318,male,21,0,1,PC 17597,61.3792,,C
319,male,,0,0,113510,35,C128,S
320,female,31,0,0,16966,134.5,E39 E41,C
321,male,,0,0,19947,35.5,C52,S
322,male,62,0,0,113807,26.55,,S
323,female,36,0,0,PC 17760,135.6333,C32,C
324,male,30,1,0,P/PP 3381,24,,C
325,female,28,1,0,P/PP 3381,24,,C
326,male,30,0,0,248744,13,,S
327,male,18,0,0,231945,11.5,,S
328,male,25,0,0,C.A. 34050,10.5,,S
329,male,34,1,0,226875,26,,S
330,female,36,1,0,226875,26,,S
331,male,57,0,0,244346,13,,S
332,male,18,0,0,29108,11.5,,S
333,male,23,0,0,C.A. 31030,10.5,,S
334,female,36,0,0,28551,13,D,S
335,male,28,0,0,C.A./SOTON 34068,10.5,,S
336,male,51,0,0,S.O.P. 1166,12.525,,S
337,male,32,1,0,2908,26,,S
338,female,19,1,0,2908,26,,S
339,male,28,0,0,244358,26,,S
340,male,1,2,1,230136,39,F4,S
